WH Property,#_seagrass_Scopus,#_seagrass_WoS,#_CC_Scopus,#_CC_Wos
GBR,77,98,18,26
Wadden Sea,99,81,12,13
Shark Bay,81,34,12,13
Banc D'Arguin,37,28,11,3
Everglades National Park,64,86,7,5
Gulf of California,19,10,4,2
Ningaloo Reef,9,5,3,3
Ibiza,9,3,0,0
Lord Howe Islands,1,1,0,1
Lagoons of New Caledonia,28,23,0,0
Belize Barrier Reef ,9,1,0,0
Brazilian Atlantic Islands,4,4,0,0
Socotra Archipelago,4,3,0,0
Aldabra Atoll,3,0,0,0
Sian Ka’an ,3,0,0,0
Rock Island Lagoon ,2,1,0,
Ha Long Bay,2,1,0,0
iSimangaliso,1,1,0,0
Sanganeb MNP,1,0,0,0
Komodo National Park,1,0,0,0
Gulf of Porto,0,0,0,0
Puerto-Princesa,0,0,0,0
Tubbataha Reefs,0,0,0,0
Coiba National Park,0,0,0,0
Whale Sanctuary of El Vizcaino,0,0,0,0
East Rennell,0,0,0,0
Ujung Kulon National Park,0,0,0,0
West Norwegian Fjords,0,0,0,0
