ID,WH_Property,Country,Bioregion,Presence_of_Nom_doc,Nom_n_of_pages,Nom_n_Seagrass,Nom_n_Climate_change,SOC_Most_Recent,SOC_n_of_reports,SOC_n_Climate_change,Abe_Most_recent,Abe_n_of_pages,Abe_n_Seagrass,Abe_n_Climate_change,Management_and_Institutional_Factors,Trasportation_infrastrucutre,Climate_change_and_Severe_weather_events,Pollution,Buildings_and_development,Services_infrastructures,Invasive_species,Biological_resource_use_modification,Social_cultural_uses_of_heritage,Other_human_activities,Sudden_ecological_events,Physical_resource_extraction,Local_Conditions_affecting_physical_fabric,Rank,IUCN_Outlook_Report_2017,Continent
578,Aldabara_Atoll,Seychelles,5,FALSE,NA,NA,NA,1986,1,0,1982,2,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,Good_with_some_concern,AFR
1369,Archipiélago_de_Revillagigedo,Mexico,2,TRUE,179,0,0,NA,0,NA,2016,12,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Good_with_some_concern,LAC
154,Area_de_Conservación_Guanacaste,Costa_Rica,2,TRUE,129,0,1,2019,3,0,2004,2,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,0,Signficant_Concern,LAC
1115,Banc_D'Arguin,Mauritania,2,FALSE,NA,NA,NA,2018,15,4,1989,7,3,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,Signficant_Concern,ARB
186,Belize_Barrier_Reef_Reserve_System,Belize,2,FALSE,NA,NA,NA,2019,12,1,1996,8,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,Signficant_Concern,LAC
629,Brazilian_Atlantic_Islands:_Fernando_de_Noronha_and_Atol_das_Rocas_Reserves,Brazil,2,TRUE,351,0,0,NA,0,NA,2001,6,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Good_with_some_concern,LAC
877,Cocos_Island,Costa_Rica,2,FALSE,NA,NA,NA,2002,1,0,2002,4,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,Signficant_Concern,LAC
185,Coiba_National_Park_and_its_Special_Zone_of_Marine_Protection,Panama,2,TRUE,220,0,2,2019,9,0,2005,5,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Signficant_Concern,LAC
262,East_Rennel,Solomon_Island,5,FALSE,NA,NA,NA,2019,14,3,1998,6,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,Critical,APA
506,Everglades_National_Park,USA,2,FALSE,NA,NA,NA,2019,28,4,1979,4,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5,Critical,NAm
